iter	RMSE
277	1.440459653
278	1.440204546
279	1.439795905
280	1.439277719
281	1.439031855
282	1.438572412
283	1.438094605
284	1.437701942
285	1.437253474
286	1.436676839
287	1.436161275
288	1.435623029
289	1.435125797
290	1.434690956
291	1.434083791
292	1.433418743
293	1.433061029
294	1.43226833
295	1.431677827
296	1.431306331
297	1.430881653
298	1.430420264
299	1.43003375
300	1.429585621
301	1.428995745
302	1.428761777
303	1.42843114
304	1.427951351
305	1.427525171
306	1.42688799
307	1.426487176
308	1.426003569
309	1.425288561
310	1.425005237
311	1.424640353
312	1.424024019
313	1.423461035
314	1.422866713
315	1.422512169
316	1.421860311
317	1.421248564
318	1.420483327
319	1.419914284
320	1.419443011
321	1.41895642
322	1.418469248
323	1.418194154
324	1.41777207
325	1.417315428
326	1.416929437
327	1.416356561
328	1.415565577
329	1.415256071
330	1.414947388
331	1.414629918
332	1.414071192
333	1.413556413
334	1.413233462
335	1.412857454
336	1.412373862
337	1.411998257
338	1.411269937
339	1.410787079
340	1.41031639
341	1.409660762
342	1.409077897
343	1.408608477
344	1.408176287
345	1.407705552
346	1.40721497
347	1.40674435
348	1.40625871
349	1.405704816
350	1.405193358
351	1.404653532
352	1.404239289
353	1.40379558
354	1.403282618
355	1.402878755
356	1.402509057
357	1.401858322
358	1.401222678
359	1.400882133
360	1.400529286
361	1.400089602
362	1.399808807
363	1.399413457
364	1.399090002
365	1.398637029
366	1.398013429
367	1.397711603
368	1.397076636
369	1.396512351
370	1.396135619
371	1.395891561
372	1.39548193
373	1.395159277
374	1.394755718
375	1.394119323
376	1.393740301
377	1.393445086
378	1.392923467
379	1.392660601
380	1.39228886
381	1.391800149
382	1.391452388
383	1.390971615
384	1.390548637
385	1.390139765
386	1.389646983
387	1.389215205
388	1.388638737
389	1.388157679
390	1.387932606
391	1.387600056
392	1.387028633
393	1.386772148
394	1.386278009
395	1.385770428
396	1.385505728
397	1.385082332
398	1.384688296
399	1.384290817
400	1.383841793
401	1.383391667
402	1.383041867
403	1.382657756
404	1.382393132
405	1.381899942
406	1.381594851
407	1.381311327
408	1.3808066
409	1.380503031
410	1.379889123
411	1.379387224
412	1.379089971
413	1.378647027
414	1.378464276
415	1.378066842
416	1.37768913
417	1.377152111
418	1.376526129
419	1.375934298
420	1.375522535
421	1.375021456
422	1.374757588
423	1.374354469
424	1.374073421
425	1.373761456
426	1.373442031
427	1.373116082
428	1.372444547
429	1.37200722
430	1.371454296
431	1.370961112
432	1.370514231
433	1.370077812
434	1.369704891
435	1.369420265
436	1.368990376
437	1.368604225
438	1.368165052
439	1.367746702
440	1.367462345
441	1.367114072
442	1.36670014
443	1.366370097
444	1.36592011
445	1.365564252
446	1.365130491
447	1.364897317
448	1.364481288
449	1.364228873
450	1.363888844
451	1.363252555
452	1.362835549
453	1.362370856
454	1.361856833
455	1.361307347
456	1.361019751
457	1.360512001
458	1.360297189
459	1.359917302
460	1.359497274
461	1.359119266
462	1.358884811
463	1.358565705
464	1.358113347
465	1.357808131
466	1.357520234
467	1.357263962
468	1.356813059
469	1.356349995
470	1.355837685
471	1.355503555
472	1.355212028
473	1.35481738
474	1.354632163
475	1.354280965
476	1.353931762
477	1.353688652
478	1.353450547
479	1.353107122
480	1.352700445
481	1.352267809
482	1.351926784
483	1.351419646
484	1.351139111
485	1.35085084
486	1.350456381
487	1.350124374
488	1.349402661
489	1.349097711
490	1.348650865
491	1.348417546
492	1.348140135
493	1.347649311
494	1.347429034
495	1.347023973
496	1.3467811
497	1.346568946
498	1.34589636
499	1.345599924
500	1.345233522
501	1.344783909
502	1.344588985
503	1.344194871
504	1.343903699
505	1.343639718
506	1.343132132
507	1.342638875
508	1.342425688
509	1.341886077
510	1.341240781
511	1.340972498
512	1.340521851
513	1.340101075
514	1.339907799
515	1.339646461
516	1.339329371
517	1.33901606
518	1.338525483
519	1.338113169
520	1.337659729
521	1.337336884
522	1.336904812
523	1.336565347
524	1.336084703
525	1.335763318
526	1.335551549
527	1.335206965
528	1.334921478
529	1.334696194
530	1.334450609
531	1.334038965
532	1.333699118
533	1.33331551
534	1.332898021
535	1.332593352
536	1.332243337
537	1.332027179
538	1.3316228
539	1.331175495
540	1.330944206
541	1.330641042
542	1.330234559
543	1.329773316
544	1.329498635
545	1.329175786
546	1.328932112
547	1.32855546
548	1.327943241
549	1.327706304
550	1.327358811
551	1.327046675
552	1.326716569
553	1.326305905
554	1.32592288
555	1.325640995
556	1.325423758
557	1.325234649
558	1.324647555
559	1.324403366
560	1.324111294
561	1.323719646
562	1.323490159
563	1.323242306
564	1.323091093
565	1.322678655
566	1.322383959
567	1.322202458
568	1.322090893
569	1.321670104
570	1.321546908
571	1.321432692
572	1.321090793
573	1.32070613
574	1.320414279
575	1.32009656
576	1.31980185
577	1.319519891
578	1.319196944
579	1.31892698
580	1.318738356
581	1.318567334
582	1.318224204
583	1.317858318
584	1.317310794
585	1.317046235
586	1.316772821
587	1.316311947
588	1.315952972
589	1.315597037
590	1.315306391
591	1.31505416
592	1.314881554
593	1.3145611
594	1.314374259
595	1.313986994
596	1.313827156
597	1.313588098
598	1.31316041
599	1.312842199
600	1.312543601
601	1.312214555
602	1.312019644
603	1.311644488
604	1.311297769
605	1.311030536
606	1.310713078
607	1.310363484
608	1.309988172
609	1.309792102
610	1.309440747
611	1.309331384
612	1.309004988
613	1.308709609
614	1.308524212
615	1.308193572
616	1.308007565
617	1.307821826
618	1.307666087
619	1.307227312
620	1.30684944
621	1.306417536
622	1.30610156
623	1.305845115
624	1.30561154
625	1.30537372
626	1.305081713
627	1.304821932
628	1.304689179
629	1.304469921
630	1.304166508
631	1.303905949
632	1.303733835
633	1.303481138
634	1.303162608
635	1.302772122
636	1.30261284
637	1.302405468
638	1.301942341
639	1.301692236
640	1.301491403
641	1.30125941
642	1.300719509
643	1.300305276
644	1.299960642
645	1.29957079
646	1.299243981
647	1.298916031
648	1.298697644
649	1.298293611
650	1.29788634
651	1.297663998
652	1.297322456
653	1.297118781
654	1.296959419
655	1.29669791
656	1.296401658
657	1.296232355
658	1.296007016
659	1.295837574
660	1.295511922
661	1.295238132
662	1.294905784
663	1.294605134
664	1.294387783
665	1.294213317
666	1.29403337
667	1.293901385
668	1.2936757
669	1.293307658
670	1.292977288
671	1.29249585
672	1.291981981
673	1.291578732
674	1.291390951
675	1.291002093
676	1.290763975
677	1.290635659
678	1.290415483
679	1.290075901
680	1.289676115
681	1.289296192
682	1.289064946
683	1.288874633
684	1.288665438
685	1.28846919
686	1.288130543
687	1.287969759
688	1.287764914
689	1.287291061
690	1.28699221
691	1.286764708
692	1.28647163
693	1.286251062
694	1.286038082
695	1.285743995
696	1.285501876
697	1.285263975
698	1.285022799
699	1.284830815
700	1.284513416
701	1.28428693
702	1.284062148
703	1.283618913
704	1.283210674
705	1.283040257
706	1.282824701
707	1.282498332
708	1.282220242
709	1.281889967
710	1.281582082
711	1.281170882
712	1.280740382
713	1.2804447
714	1.280192057
715	1.279880866
716	1.279477405
717	1.279222055
718	1.278853827
719	1.278640579
720	1.278294807
721	1.277889246
722	1.277668081
723	1.277517838
724	1.277078625
725	1.276973882
726	1.276806785
727	1.276623387
728	1.276437714
729	1.276300575
730	1.276081717
731	1.275760555
732	1.275558535
733	1.275174477
734	1.27490234
735	1.274646052
736	1.274485131
737	1.274226845
738	1.273894341
739	1.273469406
740	1.273000163
741	1.272732946
742	1.272325306
743	1.272120879
744	1.271973168
745	1.271668816
746	1.271478397
747	1.271179672
748	1.270958407
749	1.270737004
750	1.270419073
751	1.269921234
752	1.269761068
753	1.269387377
754	1.269189045
755	1.269064969
756	1.26888316
757	1.268541494
758	1.26834534
759	1.268175487
760	1.268091335
761	1.267815331
762	1.267564139
763	1.267350692
764	1.267164133
765	1.266742938
766	1.26659553
767	1.266183865
768	1.2658219
769	1.265657889
770	1.265346314
771	1.26494194
772	1.264583793
773	1.264286219
774	1.264007492
775	1.263797248
776	1.263573048
777	1.263419559
778	1.263179696
779	1.262891167
780	1.262674818
781	1.262462105
782	1.2620446
783	1.261740156
784	1.261348301
785	1.261034607
786	1.260882698
787	1.260633635
788	1.260455263
789	1.26022681
790	1.259865425
791	1.259651064
792	1.259403423
793	1.259017997
794	1.258846838
795	1.258682386
796	1.258446657
797	1.258258705
798	1.258114538
799	1.257961714
800	1.257738463
801	1.257624474
802	1.257428291
803	1.25710507
804	1.256874092
805	1.256317549
806	1.255983918
807	1.255804723
808	1.255588936
809	1.255441328
810	1.255149474
811	1.255023332
812	1.254785144
813	1.25447129
814	1.254349998
815	1.254219758
816	1.253937009
817	1.253706865
818	1.25337966
819	1.25315594
820	1.252899446
821	1.25277292
822	1.252614669
823	1.252354096
824	1.25214203
825	1.251852189
826	1.251495799
827	1.251346
828	1.250891424
829	1.250766442
830	1.250380271
831	1.249989078
832	1.249792666
833	1.249446071
834	1.249071237
835	1.248910945
836	1.248624516
837	1.248414313
838	1.247964136
839	1.247763511
840	1.247402355
841	1.247131751
842	1.246816991
843	1.246612104
844	1.246463618
845	1.246305305
846	1.246016391
847	1.245739855
848	1.245396034
849	1.245225297
850	1.24500138
851	1.244732966
852	1.244516895
853	1.244286441
854	1.243868554
855	1.243552327
856	1.243161508
857	1.242993881
858	1.242791683
859	1.242603576
860	1.242480054
861	1.242298487
862	1.242111499
863	1.241975123
864	1.241837427
865	1.241459132
866	1.241071371
867	1.240864055
868	1.24072543
869	1.240483721
870	1.240115561
871	1.239983941
872	1.239776432
873	1.239530332
874	1.239349596
875	1.239108696
876	1.238714193
877	1.238516388
878	1.238333333
879	1.238072749
880	1.237889318
881	1.237444848
882	1.237251632
883	1.236804037
884	1.23656446
885	1.236431893
886	1.236149282
887	1.235807479
888	1.235623193
889	1.235430311
890	1.235348888
891	1.235146745
892	1.234906026
893	1.234586683
894	1.234430269
895	1.234212354
896	1.233933611
897	1.233651685
898	1.233384573
899	1.233235957
900	1.232965776
901	1.232741206
902	1.232454459
903	1.231832947
904	1.231587392
905	1.231418563
906	1.23122413
907	1.230898617
908	1.230668134
909	1.23048112
910	1.230264122
911	1.230049367
912	1.229827976
913	1.229648606
914	1.229413421
915	1.229263941
916	1.229037878
917	1.228798212
918	1.22858028
919	1.228332353
920	1.228082795
921	1.227706555
922	1.227526213
923	1.227230119
924	1.226951032
925	1.226842688
926	1.226567413
927	1.226104258
928	1.225769577
929	1.225481312
930	1.22527959
931	1.224944676
932	1.224800288
933	1.224503205
934	1.224221261
935	1.224074914
936	1.223802424
937	1.223593263
938	1.223314713
939	1.223102554
940	1.22292973
941	1.22277962
942	1.222579112
943	1.22247752
944	1.222335392
945	1.222288715
946	1.222087498
947	1.221839697
948	1.221587742
949	1.221328373
950	1.221168366
951	1.220992266
952	1.220699356
953	1.220407874
954	1.220201201
955	1.219876784
956	1.219671998
957	1.219309254
958	1.219075964
959	1.218922062
960	1.218698396
961	1.218386521
962	1.218177201
963	1.218044079
964	1.217757682
965	1.217434022
966	1.217215201
967	1.217052835
968	1.216834337
969	1.216652075
970	1.216512166
971	1.216317208
972	1.216109774
973	1.215873113
974	1.215509865
975	1.215341803
976	1.215052672
977	1.214834687
978	1.214532487
979	1.21440226
980	1.21416376
981	1.213988156
982	1.213829331
983	1.213586342
984	1.21334184
985	1.213035083
986	1.212769819
987	1.212644622
988	1.212357766
989	1.21202942
990	1.211934698
991	1.211688589
992	1.211459449
993	1.211304887
994	1.21117115
995	1.211013306
996	1.210769831
997	1.210667411
998	1.210495268
999	1.21039189
